point,x,y,
117,75.71557145,128.2802148,
118,43.42848453,52.57566356,
119,28.70608869,95.71818647,
120,38.88764467,75.18659747,
121,50.53952492,66.68966856,
122,51.97425647,100.8908211,
123,62.16414147,14.30767517,
124,27.95880017,67.23495163,
125,25.17158579,11.75351003,
126,47.13605366,97.11454048,
127,33.14639586,98.89627755,
128,32.70114577,37.44472002,
129,48.3399784,80.86066614,
130,65.15825058,81.07872209,
131,66.12850055,118.1838519,
132,63.39790729,77.78503714,
133,45.45296529,83.42815036,
134,58.17346464,39.91013162,
135,50.11163262,36.59864414,
136,47.96161829,147.423076,
137,32.74662742,107.0538553,
138,30.37715046,61.59296831,
139,43.0881072,114.6487154,
140,30.30947142,52.65559448,
141,30.9644509,49.28169031,
142,36.91336181,81.72127491,
143,31.62620352,119.4210019,
144,32.04401794,61.86426297,
145,60.94985867,17.18009007,
146,72.56990383,162.937475,
147,40.34400687,76.17620124,
148,35.61512086,45.45832609,
149,57.80151175,47.11233118,
150,40,65.32915631,
151,29.80488515,44.11459407,
152,37.99005266,62.35783645,
153,38.10831593,53.04782186,
154,63.94614971,127.8263843,
155,63.96134147,100.9160589,
156,65.94940846,101.5368818,
157,115.459629,291.6930908,
158,95.63740428,145.6227414,
159,58.74752349,151.2669238,
160,46.75168081,81.02301123,
161,45.47224941,105.7094044,
162,57.396943,116.2062556,
163,34.27888942,38.6101556,
164,44.26123415,182.1023872,
165,35.42106788,46.10066132,
166,31.95062822,-30.56957768,
167,50.27810253,42.6715138,
168,82.35221947,151.5064841,
169,53.11292689,96.64654882,
170,34.11848093,182.8875446,
171,33.82948714,52.8695855,
172,76.23183521,127.30219,
173,60.81934131,126.0660606,
174,44.87649128,69.95387294,
175,41.47934265,46.18208064,
176,36.42451724,97.48510887,
177,70.0679566,130.0570233,
178,61.64414262,126.3918526,
179,29.61450758,53.62427423,
180,51.84709971,-2.919951747,
181,26.81299292,25.41857106,
182,82.18452218,238.3216205,
183,53.3450023,90.03071382,
184,42.55765118,110.959784,
185,30.64295336,45.22504654,
186,37.05957763,81.07223911,
187,52.63516467,93.59653947,
188,38.87885106,42.37850434,
189,61.91875677,109.3607792,
190,38.44327736,48.63206306,
191,35.45691063,21.50714349,
192,56.13340162,109.5620621,
193,42.61938069,72.77870652,
194,33.89339019,74.92445039,
195,55.16168846,46.86479909,
196,24.66239153,43.09949828,
197,32.80908229,90.29020599,
198,64.88395363,167.985082,
199,34.33848006,15.39838272,
200,49.38743897,120.3826587,
201,50.31219366,127.0994892,
202,50.51701877,259.4996965,
203,35.46499978,135.6723007,
204,76.52899914,80.54745324,
205,38.62687885,54.29399764,
206,36.94817769,64.23565862,
207,38.65132511,79.3505995,
208,53.96708032,112.1996506,
209,47.08900751,125.1889613,
210,40.60460605,131.4175354,
211,27.76195071,52.21952143,
212,28.10920613,81.47214325,
213,21.94089543,42.50981876,
214,39.95167791,93.30963712,
215,60.90178176,120.3703372,
216,27.11339955,59.03340458,
217,33.52904594,30.04032751,
218,57.20853258,203.0818339,
219,48.71159573,47.9558814,
220,62.79501232,115.5751681,
221,36.00083021,12.68269437,
222,23.73144268,63.86755672,
223,40.55942585,156.8892064,
224,56.72695056,90.3443533,
225,25.71731498,60.36583978,
226,29.35918005,71.65872065,
227,30.15685483,101.6585217,
228,58.46064726,87.35955805,
229,30.33136022,66.56356819,
230,35.59573001,43.41324621,
231,55.09953534,69.49747476,
232,36.57821404,56.48834844,
233,50.55220351,89.21425343,
234,38.52451732,108.9050532,
235,39.10894421,63.10204794,
236,82.09236399,226.1870206,
237,41.49705992,132.4671303,
238,49.26542076,43.23567165,
239,40.15171956,-13.97205541,
240,36.35995386,-12.04899063,
241,111.8073836,196.4633192,
242,28.2027409,53.74653055,
243,28.15509355,69.40117856,
244,40.61724413,46.7491266,
245,83.04619166,158.5595417,
246,27.41200375,49.91842029,
247,60.54202081,103.2560695,
248,40.11804199,83.71337277,
249,28.03179095,48.09257741,
250,35.71764252,63.36466555,
,,,
